name,target_muscle,secondary_muscles,difficulty,equipment,description
Отжимания от пола,Грудные,Трицепс-Плечи,2,Нет,"Базовое жимовое упражнение с собственным весом. Руки на ширине плеч, корпус прямой."
Отжимания с колен,Грудные,Трицепс,1,Нет,"Облегчённый вариант отжиманий для новичков. Опора на колени, спина прямая."
Отжимания на брусьях,Трицепс,Грудные-Плечи,4,Брусья,"Сложное упражнение на силу рук. Требует контроля глубины опускания."
Отжимания с узкой постановкой рук,Трицепс,Грудные,3,Нет,"Акцент на трицепс. Ладони на ширине плеч или уже."
Подтягивания на турнике хватом сверху,Спина,Бицепс-Плечи,4,Турник,"Классические подтягивания. Ладони смотрят вперёд."
Подтягивания обратным хватом,Бицепс,Спина-Плечи,4,Турник,"Ладони смотрят на себя. Больше нагружает бицепс."
Подтягивания широким хватом,Спина,Плечи,5,Турник,"Руки шире плеч. Максимальная нагрузка на широчайшие мышцы."
Австралийские подтягивания,Спина,Бицепс,3,Турник,"Горизонтальные подтягивания. Ноги на полу, тело под углом."
Отрицательные подтягивания,Спина,Бицепс,3,Турник,"Прыжком в верхнюю точку, медленное опускание 3-5 секунд."
Вис на турнике,Спина,Хват,1,Турник,"Просто висеть, укрепляя хват и растягивая позвоночник."
Приседания с собственным весом,Квадрицепсы,Ягодицы-Кор,2,Нет,"Базовое упражнение для ног. Спина прямая, пятки прижаты."
Приседания с гантелью,Квадрицепсы,Ягодицы-Кор,3,Гантели,"Утяжелённые приседания. Одна гантель у груди или две в руках."
Выпады,Квадрицепсы,Ягодицы,3,Нет,"Поочерёдный шаг вперёд с приседанием. Колено не выходит за носок."
Болгарские сплит-приседания,Квадрицепсы,Ягодицы,4,Скамья-Гантели,"Задняя нога на скамье. Сложное упражнение на баланс."
Приседания плие,Приводящие,Квадрицепсы-Ягодицы,3,Гантель,"Широкая постановка ног, носки наружу. Акцент на внутреннюю поверхность бедра."
Становая тяга с гантелями,Спина,Ягодицы-Бицепс бедра,4,Гантели,"Наклоны с прямыми ногами с гантелями в руках."
Скручивания на пресс,Пресс,Кор,2,Нет,"Подъём плеч к тазу. Поясница прижата к полу."
Планка,Кор,Пресс,3,Нет,"Удержание прямой линии тела на локтях и носках."
Боковая планка,Косые мышцы,Кор,3,Нет,"Удержание на боку. Одна рука на локте."
Подъём ног в висе,Пресс,Сгибатели бедра,4,Турник,"Вис на турнике и подъём прямых ног к перекладине."
Обратные скручивания,Пресс,Кор,2,Нет,"Подъём таза вверх с согнутыми коленями."
Велосипед,Косые мышцы,Пресс,2,Нет,"Лёжа на спине, поочерёдное касание локтём противоположного колена."
Жим гантелей лёжа,Грудные,Трицепс-Плечи,3,Гантели,"Лёжа на скамье, выжимание гантелей вверх."
Жим штанги лёжа,Грудные,Трицепс-Плечи,4,Штанга-Скамья,"Классический жим штанги. Технически сложнее гантелей."
Разведение гантелей лёжа,Грудные,Плечи,3,Гантели,"Акцент на растяжку грудных мышц. Локти слегка согнуты."
Сгибания рук с гантелями,Бицепс,Плечи,2,Гантели,"Подъём гантелей к плечам. Корпус неподвижен."
Молотковые сгибания,Брахиалис,Бицепс,2,Гантели,"Ладони смотрят друг на друга. Пронация."
Французский жим лёжа,Трицепс,Плечи,3,Гантель-Штанга,"Разгибание рук с отягощением за головой в положении лёжа."
Разгибание руки с гантелью из-за головы,Трицепс,Плечи,2,Гантель,"Сидя или стоя, рука с гантелью за головой, разгибание в локте."
Жим гантелей сидя,Плечи,Трицепс,3,Гантели,"Сидя на скамье, выжимание гантелей вверх."
Разведение гантелей в стороны,Дельтовидные,Трапеции,2,Гантели,"Стоя, подъём рук в стороны до параллели с полом."
Шраги с гантелями,Трапеции,Плечи,2,Гантели,"Пожимание плечами с отягощением. Трапеция сокращается."
Тяга гантели к поясу в наклоне,Спина,Бицепс-Плечи,3,Гантель,"Одна рука и нога на скамье, тяга гантели к животу."
Гиперэкстензия,Разгибатели спины,Ягодицы,2,Римский стул,"Разгибание корпуса с фиксацией ног. Укрепление поясницы."
Зашагивания на платформу,Квадрицепсы,Ягодицы,3,Платформа-Гантели,"Поочерёдное зашагивание на возвышение."
Берпи,Всё тело,Сердечно-сосудистая система,4,Нет,"Комплексное взрывное движение. Присед, упор лёжа, прыжок вверх."
Выпрыгивания из приседа,Квадрицепсы,Ягодицы,3,Нет,"Приседание и максимальный прыжок вверх."
Отжимания хлопком,Грудные,Трицепс-Взрывная сила,5,Нет,"Взрывные отжимания с хлопком в фазе полёта."
Подтягивания с отягощением,Спина,Бицепс,5,Турник-Рюкзак,"Подтягивания с дополнительным весом на поясе."
Выход силой на турнике,Спина,Всё тело,5,Турник,"Гимнастический элемент. Выход на упор на прямых руках из виса."
Кольцевые отжимания,Грудные,Кор,5,Кольца,"Отжимания в упоре на гимнастических кольцах. Требует баланса."
Приседания на одной ноге,Квадрицепсы,Ягодицы-Баланс,5,Нет,"Пистолетик. Максимальная нагрузка на одну ногу."
Отжимания в стойке на руках,Плечи,Кор,5,Стена,"Вставание в стойку и отжимания. Высший уровень сложности."
Прыжки на скакалке,Сердечно-сосудистая,Ноги-Координация,2,Скакалка,"Классическое кардио. Укрепляет связки стоп."
Бег на месте с захлёстом,Сердечно-сосудистая,Бицепс бедра,2,Нет,"Пятки касаются ягодиц. Разогрев или кардио."
Махи ногами стоя,Ягодицы,Бицепс бедра,1,Нет,"Махи вперёд/назад/в сторону. Растяжка и лёгкое укрепление."
Ягодичный мостик,Ягодицы,Бицепс бедра,2,Нет,"Подъём таза лёжа на спине. Сжатие ягодиц в верхней точке."
Румынская тяга с гантелями,Бицепс бедра,Ягодицы-Спина,3,Гантели,"Таз отводится назад, ноги слегка согнуты. Акцент на заднюю поверхность бедра."
Подъём на носки стоя,Икры,Голень,2,Любое отягощение,"Подъём на носки. Развитие икроножных мышц."
